instance_id,claude_patch_size,glm_patch_size,claude_status,glm_status,claude_test_result,glm_test_result
astropy__astropy-6938,571,574,present,present,pending,pending
django__django-11019,4922,4955,present,present,pending,pending
django__django-11179,614,614,present,present,pending,pending
django__django-11848,905,1179,present,present,pending,pending
django__django-12589,1563,1563,present,present,pending,pending
django__django-12708,839,754,present,present,pending,pending
django__django-13265,1816,2309,present,present,pending,pending
django__django-13551,2186,2193,present,present,pending,pending
django__django-13757,1393,1362,present,present,pending,pending
django__django-13933,2473,1144,present,present,pending,pending
django__django-14155,976,976,present,present,pending,pending
django__django-14667,869,521,present,present,pending,pending
django__django-14752,1147,1022,present,present,pending,pending
django__django-16041,904,1042,present,present,pending,pending
django__django-16046,454,454,present,present,pending,pending
django__django-16400,988,990,present,present,pending,pending
django__django-16408,1154,1154,present,present,pending,pending
django__django-16527,549,549,present,present,pending,pending
django__django-16820,3124,4354,present,present,pending,pending
matplotlib__matplotlib-22711,903,1358,present,present,pending,pending
matplotlib__matplotlib-23913,1216,1222,present,present,pending,pending
matplotlib__matplotlib-23987,827,1542,present,present,pending,pending
matplotlib__matplotlib-24970,2224,1179,present,present,pending,pending
psf__requests-2674,1097,1326,present,present,pending,pending
pydata__xarray-3364,1636,1398,present,present,pending,pending
pylint-dev__pylint-7228,1352,1345,present,present,pending,pending
pytest-dev__pytest-5103,3879,5687,present,present,pending,pending
pytest-dev__pytest-7490,570,737,present,present,pending,pending
pytest-dev__pytest-8365,872,891,present,present,pending,pending
scikit-learn__scikit-learn-10949,1903,1856,present,present,pending,pending
scikit-learn__scikit-learn-13241,1098,806,present,present,pending,pending
scikit-learn__scikit-learn-25638,3517,3430,present,present,pending,pending
sphinx-doc__sphinx-10451,1753,1660,present,present,pending,pending
sphinx-doc__sphinx-7686,3510,751,present,present,pending,pending
sphinx-doc__sphinx-8721,992,548,present,present,pending,pending
sympy__sympy-12171,781,781,present,present,pending,pending
sympy__sympy-13480,590,590,present,present,pending,pending
sympy__sympy-13895,2455,2195,present,present,pending,pending
