instance_id,claude_patch_chars,glm_patch_chars,claude_has_patch,glm_has_patch
astropy__astropy-6938,571,574,Yes,Yes
django__django-11019,4922,4955,Yes,Yes
django__django-11179,614,614,Yes,Yes
django__django-11848,905,1179,Yes,Yes
django__django-12589,1563,1563,Yes,Yes
django__django-12708,839,754,Yes,Yes
django__django-13265,1816,2309,Yes,Yes
django__django-13551,2186,2193,Yes,Yes
django__django-13757,1393,1362,Yes,Yes
django__django-13933,2473,1144,Yes,Yes
django__django-14155,976,976,Yes,Yes
django__django-14667,869,521,Yes,Yes
django__django-14752,1147,1022,Yes,Yes
django__django-16041,904,1042,Yes,Yes
django__django-16046,454,454,Yes,Yes
django__django-16400,988,990,Yes,Yes
django__django-16408,1154,1154,Yes,Yes
django__django-16527,549,549,Yes,Yes
django__django-16820,3124,4354,Yes,Yes
matplotlib__matplotlib-22711,903,1358,Yes,Yes
matplotlib__matplotlib-23913,1216,1222,Yes,Yes
matplotlib__matplotlib-23987,827,1542,Yes,Yes
matplotlib__matplotlib-24970,2224,1179,Yes,Yes
psf__requests-2674,1097,1326,Yes,Yes
pydata__xarray-3364,1636,1398,Yes,Yes
pylint-dev__pylint-7228,1352,1345,Yes,Yes
pytest-dev__pytest-5103,3879,5687,Yes,Yes
pytest-dev__pytest-7490,570,737,Yes,Yes
pytest-dev__pytest-8365,872,891,Yes,Yes
scikit-learn__scikit-learn-10949,1903,1856,Yes,Yes
scikit-learn__scikit-learn-13241,1098,806,Yes,Yes
scikit-learn__scikit-learn-25638,3517,3430,Yes,Yes
sphinx-doc__sphinx-10451,1753,1660,Yes,Yes
sphinx-doc__sphinx-7686,3510,751,Yes,Yes
sphinx-doc__sphinx-8721,992,548,Yes,Yes
sympy__sympy-12171,781,781,Yes,Yes
sympy__sympy-13480,590,590,Yes,Yes
sympy__sympy-13895,2455,2195,Yes,Yes
